[2026-03-22T14:24:17+0000] [PACMAN] Running 'pacman -Syu --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64'
[2026-03-22T14:24:17+0000] [PACMAN] synchronizing package lists
[2026-03-22T14:24:19+0000] [PACMAN] starting full system upgrade
[2026-03-22T14:24:19+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 filesystem msys2-runtime'
[2026-03-22T14:24:21+0000] [ALPM] transaction started
[2026-03-22T14:24:21+0000] [ALPM] installed filesystem (2026.03.06-1)
[2026-03-22T14:24:21+0000] [ALPM] installed msys2-runtime (3.6.7-2)
[2026-03-22T14:24:21+0000] [ALPM] transaction completed
[2026-03-22T14:24:22+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 base'
[2026-03-22T14:24:40+0000] [ALPM] transaction started
[2026-03-22T14:24:41+0000] [ALPM] installed bash (5.3.009-1)
[2026-03-22T14:24:42+0000] [ALPM] installed bash-completion (2.17.0-2)
[2026-03-22T14:24:42+0000] [ALPM] installed gcc-libs (15.2.0-1)
[2026-03-22T14:24:42+0000] [ALPM] installed libbz2 (1.0.8-4)
[2026-03-22T14:24:42+0000] [ALPM] installed libiconv (1.19-1)
[2026-03-22T14:24:42+0000] [ALPM] installed libexpat (2.7.5-1)
[2026-03-22T14:24:42+0000] [ALPM] installed liblzma (5.8.2-1)
[2026-03-22T14:24:42+0000] [ALPM] installed liblz4 (1.10.0-1)
[2026-03-22T14:24:42+0000] [ALPM] installed libopenssl (3.6.1-1)
[2026-03-22T14:24:42+0000] [ALPM] installed libzstd (1.5.7-1)
[2026-03-22T14:24:42+0000] [ALPM] installed zlib (1.3.2-1)
[2026-03-22T14:24:42+0000] [ALPM] installed bsdtar (3.8.6-1)
[2026-03-22T14:24:42+0000] [ALPM] installed bzip2 (1.0.8-4)
[2026-03-22T14:24:42+0000] [ALPM] installed gmp (6.3.0-2)
[2026-03-22T14:24:42+0000] [ALPM] installed libintl (0.22.5-1)
[2026-03-22T14:24:42+0000] [ALPM] installed coreutils (8.32-5)
[2026-03-22T14:24:43+0000] [ALPM] installed openssl (3.6.1-1)
[2026-03-22T14:24:43+0000] [ALPM] installed findutils (4.10.0-2)
[2026-03-22T14:24:43+0000] [ALPM] installed sed (4.9-1)
[2026-03-22T14:24:43+0000] [ALPM] installed libffi (3.5.2-1)
[2026-03-22T14:24:50+0000] [ALPM] installed ncurses (6.6-1)
[2026-03-22T14:24:50+0000] [ALPM] installed libpcre2_8 (10.47-1)
[2026-03-22T14:24:50+0000] [ALPM] installed less (692-1)
[2026-03-22T14:24:50+0000] [ALPM] installed gzip (1.14-1)
[2026-03-22T14:24:50+0000] [ALPM] installed libxcrypt (4.5.2-1)
[2026-03-22T14:24:50+0000] [ALPM] installed info (7.2-2)
[2026-03-22T14:24:50+0000] [ALPM] installed libtasn1 (4.21.0-1)
[2026-03-22T14:24:50+0000] [ALPM] installed libp11-kit (0.26.2-1)
[2026-03-22T14:24:51+0000] [ALPM] installed p11-kit (0.26.2-1)
[2026-03-22T14:24:51+0000] [ALPM] installed ca-certificates (20250419-1)
[2026-03-22T14:24:51+0000] [ALPM] installed brotli (1.2.0-1)
[2026-03-22T14:24:51+0000] [ALPM] installed libunistring (1.4.1-1)
[2026-03-22T14:24:51+0000] [ALPM] installed libidn2 (2.3.8-1)
[2026-03-22T14:24:51+0000] [ALPM] installed libnghttp3 (1.15.0-1)
[2026-03-22T14:24:51+0000] [ALPM] installed libngtcp2 (1.21.0-1)
[2026-03-22T14:24:51+0000] [ALPM] installed libnghttp2 (1.68.1-1)
[2026-03-22T14:24:51+0000] [ALPM] installed libpsl (0.21.5-2)
[2026-03-22T14:24:52+0000] [ALPM] installed libssh2 (1.11.1-1)
[2026-03-22T14:24:52+0000] [ALPM] installed libcurl (8.19.0-1)
[2026-03-22T14:24:52+0000] [ALPM] installed curl (8.19.0-1)
[2026-03-22T14:24:52+0000] [ALPM] installed libpcre (8.45-5)
[2026-03-22T14:24:52+0000] [ALPM] installed grep (1~3.0-7)
[2026-03-22T14:24:52+0000] [ALPM] installed dash (0.5.13.1-1)
[2026-03-22T14:24:52+0000] [ALPM] installed file (5.47-1)
[2026-03-22T14:24:53+0000] [ALPM] installed mpfr (4.2.2-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libreadline (8.3.003-1)
[2026-03-22T14:24:53+0000] [ALPM] installed gawk (5.4.0-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libargp (20260115-1)
[2026-03-22T14:24:53+0000] [ALPM] installed getent (2.18.90-6)
[2026-03-22T14:24:53+0000] [ALPM] installed inetutils (2.7-1)
[2026-03-22T14:24:53+0000] [ALPM] installed mintty (1~3.8.2-1)
[2026-03-22T14:24:53+0000] [ALPM] installed msys2-keyring (1~20260214-1)
[2026-03-22T14:24:53+0000] [ALPM] installed msys2-launcher (1.5-3)
[2026-03-22T14:24:53+0000] [ALPM] installed nano (8.7.1-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libgettextpo (0.22.5-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libasprintf (0.22.5-1)
[2026-03-22T14:24:53+0000] [ALPM] installed gettext (0.22.5-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libgpg-error (1.59-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libassuan (3.0.2-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libgcrypt (1.12.1-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libhogweed (3.10.2-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libnettle (3.10.2-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libgnutls (3.8.12-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libksba (1.6.8-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libnpth (1.8-1)
[2026-03-22T14:24:53+0000] [ALPM] installed libsqlite (3.52.0-1)
[2026-03-22T14:24:53+0000] [ALPM] installed nettle (3.10.2-1)
[2026-03-22T14:24:53+0000] [ALPM] installed pinentry (1.3.2-1)
[2026-03-22T14:24:54+0000] [ALPM] installed gnupg (2.4.9-1)
[2026-03-22T14:24:54+0000] [ALPM] installed pacman-mirrors (20260129-1)
[2026-03-22T14:24:54+0000] [ALPM] installed which (2.23-4)
[2026-03-22T14:24:54+0000] [ALPM] installed xz (5.8.2-1)
[2026-03-22T14:24:54+0000] [ALPM] installed zstd (1.5.7-1)
